id,match,match_label,set,set_label,clue,solution,right,wrong,right_team,right_team_label,wrong_team,wrong_team_label,#
1,1,S01E01: Lapsed Psychologists [18 | 12] Knitters,1,Dishes made using eggs,MRN G,MERINGUE,"[4,5]",[],2,Knitters,,,1
2,1,S01E01: Lapsed Psychologists [18 | 12] Knitters,1,Dishes made using eggs,MLT T,OMELETTE,[1],[],1,Lapsed Psychologists,,,2
3,1,S01E01: Lapsed Psychologists [18 | 12] Knitters,1,Dishes made using eggs,MS S,MOUSSE,[],[2],,,1,Lapsed Psychologists,3
4,1,S01E01: Lapsed Psychologists [18 | 12] Knitters,1,Dishes made using eggs,F RT TT,FRITTATA,[1],[],1,Lapsed Psychologists,,,4
5,1,S01E01: Lapsed Psychologists [18 | 12] Knitters,2,Famous mathematicians,LNTRN G,ALAN TURING,[1],[],1,Lapsed Psychologists,,,1
6,1,S01E01: Lapsed Psychologists [18 | 12] Knitters,2,Famous mathematicians,RC HM DS,ARCHIMEDES,[4],[],2,Knitters,,,2
7,1,S01E01: Lapsed Psychologists [18 | 12] Knitters,2,Famous mathematicians,RNDS CR TS,RENÉ DESCARTES,[],[],,,,,3
8,1,S01E01: Lapsed Psychologists [18 | 12] Knitters,2,Famous mathematicians,B LSPS CL,BLAISE PASCAL,[1],[],1,Lapsed Psychologists,,,4
9,2,S01E02: Crossworders [30 | 24] Birkbeck Alumni,3,Wading birds,YS TRC TC HR,OYSTERCATCHER,[12],[],4,Birkbeck Alumni,,,1
10,2,S01E02: Crossworders [30 | 24] Birkbeck Alumni,3,Wading birds,VCT,AVOCET,[12],[],4,Birkbeck Alumni,,,2
11,2,S01E02: Crossworders [30 | 24] Birkbeck Alumni,3,Wading birds,BS,IBIS,[8],[],3,Crossworders,,,3
12,2,S01E02: Crossworders [30 | 24] Birkbeck Alumni,3,Wading birds,RN GDP LVR,RINGED PLOVER,[8],[],3,Crossworders,,,4
13,2,S01E02: Crossworders [30 | 24] Birkbeck Alumni,4,Booker Prize-winning novels,T HG HS TRD,THE GHOST ROAD,[],[7],,,3,Crossworders,1
14,2,S01E02: Crossworders [30 | 24] Birkbeck Alumni,4,Booker Prize-winning novels,LFFP,LIFE OF PI,[],[],,,,,2
15,2,S01E02: Crossworders [30 | 24] Birkbeck Alumni,4,Booker Prize-winning novels,S CRN DLCN D,OSCAR AND LUCINDA,[7],[],3,Crossworders,,,3
16,2,S01E02: Crossworders [30 | 24] Birkbeck Alumni,4,Booker Prize-winning novels,VR NNGDLT TL,VERNON GOD LITTLE,[],[],,,,,4
17,2,S01E02: Crossworders [30 | 24] Birkbeck Alumni,5,Proverbs about money,VR YMNH SHSP RC,EVERY MAN HAS HIS PRICE,[8],[],3,Crossworders,,,1
18,2,S01E02: Crossworders [30 | 24] Birkbeck Alumni,5,Proverbs about money,FLN DHSM NYRS NPR TD,A FOOL AND HIS MONEY ARE SOON PARTED,[8],[],3,Crossworders,,,2
19,2,S01E02: Crossworders [30 | 24] Birkbeck Alumni,5,Proverbs about money,RSN GTDLF TSL LBT S,A RISING TIDE LIFTS ALL BOATS,[],[12],,,4,Birkbeck Alumni,3
20,2,S01E02: Crossworders [30 | 24] Birkbeck Alumni,5,Proverbs about money,T HRSNSC HT HN GSF RLN CH,THERE'S NO SUCH THING AS A FREE LUNCH,[8],[],3,Crossworders,,,4
21,2,S01E02: Crossworders [30 | 24] Birkbeck Alumni,6,Famous Westerns,RG RN D,RIO GRANDE,[8],[],3,Crossworders,,,1
22,2,S01E02: Crossworders [30 | 24] Birkbeck Alumni,6,Famous Westerns,NCP NT MNT HWS T,ONCE UPON A TIME IN THE WEST,[11],[],4,Birkbeck Alumni,,,2
23,2,S01E02: Crossworders [30 | 24] Birkbeck Alumni,6,Famous Westerns,FR TPC H,FORT APACHE,[7],[],3,Crossworders,,,3
24,3,S01E03: County Councillors [24 | 23] Ombudsmen,7,Soups and Stews,BL LBS S,BOUILLABAISSE,[14],[],5,County Councillors,,,1
25,3,S01E03: County Councillors [24 | 23] Ombudsmen,7,Soups and Stews,CR RTN DCRN DR,CARROT AND CORIANDER,[14],[],5,County Councillors,,,2
26,3,S01E03: County Councillors [24 | 23] Ombudsmen,7,Soups and Stews,C RBBS Q,CRAB BISQUE,[13],[16],5,County Councillors,6,Ombudsmen,3
27,3,S01E03: County Councillors [24 | 23] Ombudsmen,7,Soups and Stews,CP PN,CIOPPINO,[],[],,,,,4
28,3,S01E03: County Councillors [24 | 23] Ombudsmen,8,Terms in mechanical physics,LS TCCL LSN,ELASTIC COLLISION,[14],[],5,County Councillors,,,1
29,3,S01E03: County Councillors [24 | 23] Ombudsmen,8,Terms in mechanical physics,NR T,INERTIA,[16],[],6,Ombudsmen,,,2
30,3,S01E03: County Councillors [24 | 23] Ombudsmen,8,Terms in mechanical physics,PTN TLNR GY,POTENTIAL ENERGY,[14],[],5,County Councillors,,,3
31,3,S01E03: County Councillors [24 | 23] Ombudsmen,8,Terms in mechanical physics,C CLR TN,ACCELERATION,[17],[],6,Ombudsmen,,,4
32,3,S01E03: County Councillors [24 | 23] Ombudsmen,9,Quotations from US Presidents,YC NFLL LT HPP LSMFT HTM,YOU CAN FOOL ALL THE PEOPLE SOME OF THE TIME,[],"[16,15]",,,6,Ombudsmen,1
33,3,S01E03: County Councillors [24 | 23] Ombudsmen,9,Quotations from US Presidents,C HBN NBR LNR,ICH BIN EIN BERLINER,[14],[],5,County Councillors,,,2
34,3,S01E03: County Councillors [24 | 23] Ombudsmen,9,Quotations from US Presidents,T HRCNBNW HTWS HTT HW HTHS,THERE CAN BE NO WHITEWASH AT THE WHITE HOUSE,[],[],,,,,3
35,3,S01E03: County Councillors [24 | 23] Ombudsmen,9,Quotations from US Presidents,DD NTHVS XLR LTN S,I DID NOT HAVE SEXUAL RELATIONS,[],[16],,,6,Ombudsmen,4
36,3,S01E03: County Councillors [24 | 23] Ombudsmen,10,Tiebreaker,LBR TNS TN,ALBERT EINSTEIN,[14],[],5,County Councillors,,,1
37,4,S01E04: Science Writers [25 | 18] Travel Writers,11,Famous TV newsreaders,SLW LY,SUE LAWLEY,[21],[],7,Science Writers,,,1
